Category,Subcategory,Location Name,Store ID,Address,Suite #,City,State,Zip Code,Phone,Hours,Website,Source,Supplier,Filtration Method,Size(s),Price,Category,Subcategory
,,Pure Water Store,,375 B West Main Street,,Woodland,CA,95695,,,,,,,,,,
,,Roses Liquor,,8021 Foothill Blvd,,Sunland,CA,91040,,,,,,,,,,
,,New Age Water,,502 N. East Street,,Anaheim,CA,92805,,,,,,,,,,
,,CVS 09750,,1830 N Broadway,,Santa Maria,CA,93454,,,,,,,,,,
,,Sunnyland Market,,8134 San Fernando Rd,,Sun Valley,CA,91352,,,,,,,,,,
,,Mega Market,,5605 Gage Ave,,Bell Gardens,CA,90201,,,,,,,,,,
,,Cottonwood Center,,608 Cottonwood Rd,,Bakersfield,CA,93307,,,,,,,,,,
,,Amigos Meat Market,,829 Hwy 46,,Wasco,CA,93280,,,,,,,,,,
,,Circle K 5230,,16408 Orange Ave,,Paramount,CA,90723,,,,,,,,,,
,,Gregors Liquor And Deli,,611 Spring St,,Paso Robles,CA,93446,,,,,,,,,,
,,Sprouts Farmers Market 214,,600 West HiLLCrest Drive,,Thousand Oaks,CA,91360,,,,,,,,,,
,,Stater Brothers,,957 E. Armory Road,,Barstow,CA,92311,,,,,,,,,,
,,Puri Water And Joy Flower,,3450 El Camino Real,Suite 111,Santa Clara,CA,95051,,,,,,,,,,
,,Stater Brothers,,13200 Palm Dr.,,Desert Hot Springs,CA,92240,,,,,,,,,,
,,Victoria Market,,609 North Bunker Hill Avenue,,Los Angeles,CA,90012,,,,,,,,,,
,,Food 4 Less Kroger,,615 N. Azusa Ave.,,West Covina,CA,91791,,,,,,,,,,
,,Stater Brothers,,16750 Lakeshore Dr.,,Lake Elsinore,CA,92530,,,,,,,,,,
,,Tranquility Market,,5789 Anthony St,,Tranquillity,CA,93668,,,,,,,,,,
,,Mammoth Ice & Water,,2560 Olive Highway,,Oroville,CA,95966,,,,,,,,,,
,,Mr As Liquor,,254 Vista Village Dr,,Vista,CA,92083,,,,,,,,,,
,,Jimbo's Naturally (Ca0205),,1923 Calle Barcelona,,Carlsbad,CA,92009,,,,,,,,,,
,,CVS 09793,,2700 Homestead Road,,Santa Clara,CA,95051,,,,,,,,,,
,,Thrifty Oil 09659,,11025 Paramount Blvd,,Downey,CA,90241,,,,,,,,,,
,,Smittys Liquor,,5779 Feather River Blvd,,Olivehurst,CA,95901,,,,,,,,,,
,,Vons 2110,,715 Pier Avenue,,Hermosa Beach,CA,90254,,,,,,,,,,
,,Wmsc #5335 (Ca0244),,250 Wildcat Dr,,Brawley,CA,92227,,,,,,,,,,
,,La Villa Meat Market,,1513 E California Ave,,Bakersfield,CA,93307,,,,,,,,,,
,,Chan Dong Supermarket,,600 E 8 Th St Unit 7,,National City,CA,91950,,,,,,,,,,
,,CVS 09905,,20475 Yorba Linda Blvd.,,Yorba Linda,CA,92886,,,,,,,,,,
,,Vallarta 11,,21208 Sherman Way,,Canoga Park,CA,91303,,,,,,,,,,
,,Rite Aid 5717,,5225 Canyon Crest Dr #8,,Riverside,CA,92507,,,,,,,,,,
,,Big Value San Diego,,623 69 Th St,,San Diego,CA,92114,,,,,,,,,,
,,Vons 2169,,435 E. Foothill Blvd,,Glendora,CA,91741,,,,,,,,,,
,,El Pueblo Foods,,128 Kidder St,,Soledad,CA,93960,,,,,,,,,,
,,R & R Twin Market,,10338 Beach Blvd,,Stanton,CA,90680,,,,,,,,,,
,,Smart & Final 373,,11110 Ramona Blvd,,El Monte,CA,91731,,,,,,,,,,
,,CVS 09577,,7191 W. Warner,,Huntington Beach,CA,92647,,,,,,,,,,
,,Rite Aid 5532,,10465 Sunland Blvd,,Sunland,CA,91040,,,,,,,,,,
,,Fastrip 561,,17223 Main St,,Hesperia,CA,92345,,,,,,,,,,
,,Safeway 2508 0256,,1016 West Sacrament,,Chico,CA,95926,,,,,,,,,,
,,Eds Liquor Store,,825 Pico Blvd,,Santa Monica,CA,90405,,,,,,,,,,
,,Mission Hills Market,,1450 Burton Mesa Blvd,,Lompoc,CA,93436,,,,,,,,,,
,,Safeway 1651,,720 Mangrove,,Chico,CA,95926,,,,,,,,,,
,,5 Star Coin Laundry,,495 Oaklawn Ave,,Chula Vista,CA,91910,,,,,,,,,,
,,Ibc Millbrook 318,,2817 Main St,,Chula Vista,CA,91911,,,,,,,,,,
,,Sandys Coin Laundry,,1306 Ave I,,Lancaster,CA,93535,,,,,,,,,,
,,Grocery Outlet 136,,625 Commercial,,Eureka,CA,95501,,,,,,,,,,
,,Lucky,,1000 Petaluma Blvd,,Petaluma,CA,94952,,,,,,,,,,
,,Rite Aid 5592,,2060 S Hacienda Blvd,,Hacienda Heights,CA,91745,,,,,,,,,,
,,Kern Canyon & Morning,,8331 Kern Canyon Rd.,,Bakersfield,CA,93306,,,,,,,,,,
,,Macro Mart,,138 W Visalia Rd,,Farmersville,CA,93223,,,,,,,,,,
,,Century Pure Water,,992 Story Road,,,,,,,,,,,,,,
,,5 Star Market,,7495 University Ave.,Suite 60,San Jose,CA,95122,,,,,,,,,,
,,Irenes Liquor,,6824 S Main,,Los Angeles,CA,90003,,,,,,,,,,
,,CVS 09845,,1155 W. Henderson,,Porterville,CA,93257,,,,,,,,,,
,,Western Gas,,5310 La Sierra Ave,,Riverside,CA,92505,,,,,,,,,,
,,Taco Shop,,119 West San Ysidro Blvd,,San Ysidro,CA,92173,,,,,,,,,,
,,Safeway 2512 1204,,17539 Vierra Cyn,,Prunedale,CA,93907,,,,,,,,,,
,,Country Liquor,,18924 Soledad Canyon Rd,,Canyon Country,CA,91351,,,,,,,,,,
,,Super Pure Water,,1130 East William Street,,San Jose,CA,95116,,,,,,,,,,
,,Rite Aid 5673,,890 E Hobson Way,,Blythe,CA,92225,,,,,,,,,,
,,La Estrellita Deli,,15917 Avenue 328,,Ivanhoe,CA,93235,,,,,,,,,,
,,Vons 1735,,4241 Tierra Rejada,,Moorpark,CA,93021,,,,,,,,,,
,,Agua Pura,,1003 West Avenue I,,Lancaster,CA,93534,,,,,,,,,,
,,Lucky,,2546 Main St.,,Oakley,CA,94561,,,,,,,,,,
,,Aqua Vita Concepts Water Store #6,,18300 Vanowen Street,,Reseda,CA,91335,,,,,,,,,,
,,Rite Aid 5426,,1815 S Vermont Ave,,Los Angeles,CA,90006,,,,,,,,,,
,,Crystal Fresh Water,,12224 Centralia Street,,Lakewood,CA,90715,,,,,,,,,,
,,Mi Rancho Supermarket,,150 Charter St,,Redwood City,CA,94063,,,,,,,,,,
,,Safeway 2505 1224,,5877 Jarvis,,Newark,CA,94560,,,,,,,,,,
,,Fw Fenceworks (Price 0 Ok),,870 N Main St,,Riverside,CA,92501,,,,,,,,,,
,,Mi Pueblo 09,,448 Paradise,,Modesto,CA,95351,,,,,,,,,,
,,Market World,,3030 W Sepulveda Blvd,,Torrance,CA,90505,,,,,,,,,,
,,Neilson Market (Ca0251),,608 Alamo Pintado Rd,,Solvang,CA,93463,,,,,,,,,,
,,Safeway 2504 0976,,605 Parker,,Rodeo,CA,94572,,,,,,,,,,
,,Jims Liquor,,112 Alta St,,Gonzales,CA,93926,,,,,,,,,,
,,Family Market,,7543 Lander Ave,,Hilmar,CA,95324,,,,,,,,,,
,,Eduardos Market,,3175 National Ave,,San Diego,CA,92114,,,,,,,,,,
,,Carniceria Acapulco,,11857 Beach Blvd,,Stanton,CA,90680,,,,,,,,,,
,,Mi Pueblo 03,,235 E. Julian Street,,San Jose,CA,95112,,,,,,,,,,
,,Dollar Tree 2262,,1041 Vine Street,,Healdsburg,CA,95448,,,,,,,,,,
,,K Mart 7639,,895 Falkner Rd,,Santa Paula,CA,93060,,,,,,,,,,
,,CVS 09554,,77 Bovet Road,,San Mateo,CA,94402,,,,,,,,,,
,,Fastrip 705,,1200 Coffee Rd,,Bakersfield,CA,93308,,,,,,,,,,
,,Garcias,,1111 4 Th Street,,El Centro,CA,92243,,,,,,,,,,
,,Don Juan #2 (Formerly Vasquez Meat Mkt),,2199 Darby St.,,San Bernardino,CA,92407,,,,,,,,,,
,,Produce For Less Market,,5059 Melrose Ave,,Los Angeles,CA,90038,,,,,,,,,,
,,CVS 09492,,18080 Imperial Hwy,,Yorba Linda,CA,92886,,,,,,,,,,
,,Circle K 1089,,210 W Wood St,,Willows,CA,95988,,,,,,,,,,
,,Linda Rosa,,1827 E Villa Street,,Pasadena,CA,91106,,,,,,,,,,
,,La Presa Liquor,,9410 Jamacha Blvd,,Spring Valley,CA,91977,,,,,,,,,,
,,G & M Oil 146,,79513 Hwy 111,,La Quinta,CA,92253,,,,,,,,,,
,,CVS 03058,,26180 Iris Ave,,Moreno Valley,CA,92551,,,,,,,,,,
,,Circle K 5724 (Pcf),,4294 University Ave,,San Bernadino,CA,92407,,,,,,,,,,
,,Grocery Outlet 084,,616 Sutton Way,,Grass Valley,CA,95945,,,,,,,,,,
,,Ralphs,,49908 Jefferson St.,,Indio,CA,92201,,,,,,,,,,
,,Corner Liquor & Food Store,,2600 Oceanside Blvd,,Oceanside,CA,92054,,,,,,,,,,
,,El Dorado Market,,1240 S El Dorado St,,Stockton,CA,95206,,,,,,,,,,
,,Safeway 1954 0008,,2275 Pine St,,Redding,CA,96001,,,,,,,,,,
,,Safeway 2502 0950,,16405 Rivers Rd,,Guerneville,CA,95446,,,,,,,,,,
,,Cardenas 15,,16212 Foothill Blvd,,Fontana,CA,92335,,,,,,,,,,
,,Lucky,,150 Bicentennial Way,,Santa Rosa,CA,95403,,,,,,,,,,
,,Rite Aid 5450,,6305 York Blvd,,Highland Park,CA,90042,,,,,,,,,,
,,Super King Market,,10500 Magnolia Ave,,Stanton,CA,90680,,,,,,,,,,
,,Rainbow Acres (Ca0014),,13208 Washington Blvd,,Los Angeles,CA,90066,,,,,,,,,,
,,La Superior,,2210 Northgate Blvd,,Sacramento,CA,95833,,,,,,,,,,
,,Charlies Market,,6936 Crows Landing Rd,,Ceres,CA,95307,,,,,,,,,,
,,Rite Aid 6065,,1269 W Capitol Ave,,West Sacramento,CA,95691,,,,,,,,,,
,,El Rodeo Market Carniceria,,14702 Newport Ave.,,Tustin,CA,92780,,,,,,,,,,
,,Settler Village Market,,1912 Sr Hwy 65,,Wheatland,CA,95692,,,,,,,,,,
,,Albertsons 6711,,1929 W San Marcos Blvd,,San Marcos,CA,92069,,,,,,,,,,
,,Cardenas 25,,31655 Date Palm Drive,,Cathedral City,CA,92234,,,,,,,,,,
,,Living Water & Ice,,709 South Euclid Street,,Fullerton,CA,92832,,,,,,,,,,
,,Chavez Market,,1157 W. Tennyson Road,,Hayward,CA,94544,,,,,,,,,,
,,Rite Aid 5634,,1201 S Coast Highway,,Oceanside,CA,92054,,,,,,,,,,
,,Circle K 5228,,1001 E. Petit Avenue,,Ventura,CA,93004,,,,,,,,,,
,,Nora Market,,507 Ming Avenue,,Bakersfield,CA,93307,,,,,,,,,,
,,Ralphs,,2620 E. Chapman Ave.,,Orange,CA,92869,,,,,,,,,,
,,Dollar Tree 1258,,1330 E Hatch Rd,,Ceres,CA,95307,,,,,,,,,,
,,Crystal Water,,3960 University Avenue,,Riverside,CA,92501,,,,,,,,,,
,,Far East Market,,758 New High Street,,Los Angeles,CA,90012,,,,,,,,,,
,,R & B Market,,1130 Gravenstein Hwy 116,,Sebastopol,CA,95472,,,,,,,,,,
,,Lucky 7 Market,,2340 High Street,,Delano,CA,93215,,,,,,,,,,
,,Bj Express Mart 02,,5232 W Walnut St,,Visalia,CA,93277,,,,,,,,,,
,,Carbaughs Market,,1021 N A St,,Lompoc,CA,93436,,,,,,,,,,
,,Brothers Market,,1025 E Mission Blvd,,Pomona,CA,91766,,,,,,,,,,
,,Willow Bird Laundry,,1120 D Bird Ave,,San Jose,CA,95125,,,,,,,,,,
,,Save Mart,,5203 Walnut Ave.,,Visalia,CA,93277,,,,,,,,,,
,,La Favorita Market,,650 Indian Hill Circle,,Perris,CA,92570,,,,,,,,,,
,,CVS 09696,,10048 Mills Ave,,Whittier,CA,90604,,,,,,,,,,
,,Save Mart,,6055 N. Figarden Road,,Fresno,CA,93722,,,,,,,,,,
,,Vallarta 24,,19725 Vanowne St,,Canoga Park,CA,91306,,,,,,,,,,
,,Vans Market,,12707 Washington Place,,Los Angeles,CA,90066,,,,,,,,,,
,,New World Pure Water (Pure Water Etc),,1040 Grant Road,Suite 300,Mountain View,CA,94040,,,,,,,,,,
,,Rite Aid 5482,,1720 Aviation Blvd,,Redondo Beach,CA,90278,,,,,,,,,,
,,Indian Hill Drinking Water,,614 North Indian Hill Blvd,,Pomona,CA,91767,,,,,,,,,,
,,Rite Aid 5606,,8914 Valley Blvd,,Rosemead,CA,91770,,,,,,,,,,
,,Rockview Dairy Fullerton,,333 Orangethrope Ave,,Fullerton,CA,92832,,,,,,,,,,
,,Benchmark Landscape Inc.,,145 N Pacific St,,San Marcos,CA,92069,,,,,,,,,,
,,El Capitan Foods,,1315 Robertson Blvd,,Chowchilla,CA,93610,,,,,,,,,,
,,United Market,,515 3 Rd Street,,San Rafael,CA,94901,,,,,,,,,,
,,Buena Vista Market,,1350 Paradise,,Modesto,CA,95351,,,,,,,,,,
,,Raleys 227,,1915 Douglas Blvd,,Roseville,CA,95661,,,,,,,,,,
,,Guerrero Market,,645 Industrial Dr,,Livingston,CA,95334,,,,,,,,,,
,,Super Store,,37202 90 Th St. E,,Palmdale,CA,93543,,,,,,,,,,
,,Corona Beer Wine Market,,1630 E Gage Ave,,Los Angeles,CA,90001,,,,,,,,,,
,,Mzp Food & Gas,,12255 Heacock St,,Moreno Valley,CA,92557,,,,,,,,,,
,,Koala T Water,,863 West Arrow Highway,,San Dimas,CA,91773,,,,,,,,,,
,,Safeway 1883,,103 American Canyon Rd,,American Canyon,CA,94503,,,,,,,,,,
,,Dollar Tree 1234,,50 W Shaw Ave,,Fresno,CA,93712,,,,,,,,,,
,,Quiik E Mart,,154 W Market St,,Salinas,CA,93901,,,,,,,,,,
,,University Pure Water,,510 South 10 Th Street,,San Jose,CA,95112,,,,,,,,,,
,,Circle K 5666 (Pcf),,6322 Westminster Blvd,,Westminster,CA,92683,,,,,,,,,,
,,CVS 09851,,130 N. Grand Avenue,,Glendora,CA,91740,,,,,,,,,,
,,Corona Market,,9300 S San Pedro,,Los Angeles,CA,90003,,,,,,,,,,
,,San Marcos Market 2,,500 S Rancho Santa Fe,,San Marcos,CA,92078,,,,,,,,,,
,,Food 4 Less 30 (Nugget),,451 Pioneer Ave,,Woodland,CA,95776,,,,,,,,,,
,,CVS 08875,,3644 E. Olympic,,Boyle Heights,CA,90023,,,,,,,,,,
,,Highway 74 Market & Liquor,,31190 Hwy 74,,Homeland,CA,92548,,,,,,,,,,
,,Live Oak Market,,10153 Live Oak Blvd,,Live Oak,CA,95953,,,,,,,,,,
,,Mexicali Market,,2623 S San Pedro St,,Los Angeles,CA,90011,,,,,,,,,,
,,Rite Aid 5682,,74958 Counry Club Dr,,Palm Desert,CA,92260,,,,,,,,,,
,,Menifee Car Wash,,26825 New Port Rd,,Menifee,CA,92584,,,,,,,,,,
,,Brs Food Store,,284 W Olive,,Porterville,CA,93257,,,,,,,,,,
,,Safeway 2508 0302,,6020 Clark Ave,,Paradise,CA,95969,,,,,,,,,,
,,Fresh Drinking Water,,2619 Santa Ana Avenue,,Southgate,CA,90280,,,,,,,,,,
,,Doc's Market,,354 West Ramona,,Ventura,CA,93030,,,,,,,,,,
,,Marukai Forum,,2975 Harbor Blvd,,Costa Mesa,CA,92626,,,,,,,,,,
,,El Porvenir Produce Market 2,,1400 Ocean Ave,,San Francisco,CA,94112,,,,,,,,,,
,,Park Plaza Fine Foods,,111 Cambon Dr,,San Francisco,CA,94132,,,,,,,,,,
,,Save Mart,,1485 Main St,,Watsonville,CA,95076,,,,,,,,,,
,,Bell Gardens Coin Laundry,,6400 Gage Avenue,Suite B,Bell Gardens,CA,90201,,,,,,,,,,
,,La Michoacana,,1305 Willow Rd,,Menlo Park,CA,94025,,,,,,,,,,
,,7 Eleven 24335 (Franchise),,1988 Village Pkwy,,Encinitas,CA,92024,,,,,,,,,,
,,California Produce,,1736 E. Plaza Blvd.,,National City,CA,91950,,,,,,,,,,
,,Albertsons 6704,,2955 Alpine Blvd,,Alpine,CA,91901,,,,,,,,,,
,,Albertsons 6124,,19640 Beach Blvd,,Huntington Beach,CA,92648,,,,,,,,,,
,,Pura Aqua Supplies & More # 2,,1753 Palmdale Blvd,Suite A,Palmdale,CA,93550,,,,,,,,,,
,,Gs Super Express,,926 Cecil Ave,,Delano,CA,93215,,,,,,,,,,
,,Capitol Pure Water,,846 North West Lane,Suite 102,Stockton,CA,95210,,,,,,,,,,
,,Circle K 1270,,5334 Stine Rd,,Pumpkin Center,CA,93313,,,,,,,,,,
,,Stater Brothers,,161 E. 40 Th St.,,San Bernardino,CA,92404,,,,,,,,,,
,,CVS 03053,,10650 San Pueblo Ave,,El Cerrito,CA,94530,,,,,,,,,,
,,Mercado Los Montes,,10810 Limonite Ave,,Mira Loma,CA,91752,,,,,,,,,,
,,Valero Gas Shop N Go,,697 S State St,,San Jacinto,CA,92583,,,,,,,,,,
,,Super A Foods 13,,425 S Soto St,,Los Angeles,CA,90033,,,,,,,,,,
,,Circle K 5654 (Pcf),,5201 W 1 St St,,Santa Ana,CA,92703,,,,,,,,,,
,,Food 4 Less Kroger,,3654 E. Olympic Blvd,,Los Angeles,CA,90023,,,,,,,,,,
,,Lassen's Natural Foods (Ca0247),,4071 E Main St,,Ventura,CA,93003,,,,,,,,,,
,,Raleys 402,,7477 Watt Ave,,Sacramento,CA,95660,,,,,,,,,,
,,Save A Lot 0914,,2255 E Florida,,Hemet,CA,92544,,,,,,,,,,
,,Red Eye Liquor,,223 North Broadway,,Santa Maria,CA,93454,,,,,,,,,,
,,Save Mart,,3251 South White Rd.,,San Jose,CA,95148,,,,,,,,,,
,,Big Lots 04170,,1325 E Huntington Dr,,Duarte,CA,91010,,,,,,,,,,
,,Vallarta 10,,4831 Butler Ave,,Fresno,CA,93727,,,,,,,,,,
,,Stater Brothers,,1330 E. Mission Rd.,,San Marcos,CA,92069,,,,,,,,,,
,,Market St. & Center St.,,810 E. Market St.,,Salinas,CA,93901,,,,,,,,,,
,,Foothill Liquor,,405 Jamacha Rd,,El Cajon,CA,92019,,,,,,,,,,
,,Amigo Market,,1322 Kentucky St,,Bakersfield,CA,93305,,,,,,,,,,
,,Kenny Market,,516 W Compton Blvd,,Compton,CA,90220,,,,,,,,,,
,,Vons 2560,,1758 Grand Avenue,,Grover Beach,CA,93433,,,,,,,,,,
,,Numero Uno 105,,2214 San Pedro St,,Los Angeles,CA,90011,,,,,,,,,,
,,Rosa Lavanderia,,8111 E Rosecrans Ave Ste E & F,,Paramount,CA,90723,,,,,,,,,,
,,Goldstar Donut,,16041 Vanowen St,,Van Nuys,CA,91406,,,,,,,,,,
,,Rite Aid 6075,,2214 El Camino Ave,,Sacramento,CA,95821,,,,,,,,,,
,,Rite Aid 5720,,32261 Mission Trail,,Lake Elsinore,CA,92530,,,,,,,,,,
,,Farmersville Minute Mart,,731 N Farmersville Blvd,,Farmersville,CA,93223,,,,,,,,,,
,,Imperial Arco,,6311 Imperial Ave,,San Diego,CA,92114,,,,,,,,,,
,,Sylvan Liquors,,820 E El Camino Real Ste B,,Mountain View,CA,94040,,,,,,,,,,
,,Seville Market,,15641 Ave 384,,Visalia,CA,93292,,,,,,,,,,
,,Vons 2859,,453 Santa Fe Drive,,Encinitas,CA,92024,,,,,,,,,,
,,Shop N Go,,2990 Artesia Blvd,,Long Beach,CA,90805,,,,,,,,,,
,,Santa Cruz Market,,19 E Romie Ln,,Salinas,CA,93901,,,,,,,,,,
,,Bel Air 512,,4008 Foothill Blvd,,Roseville,CA,95747,,,,,,,,,,
,,CVS 09662,,3960 Broad St,,San Luis Obispo,CA,93401,,,,,,,,,,
,,Stater Brothers,,2630 W. Edinger Ave.,,Santa Ana,CA,92704,,,,,,,,,,
,,Hashemyars Service & Oil,,20105 Vanowen St,,Canoga Park,CA,91306,,,,,,,,,,
,,Omega Liquor & Groceries,,4346 Lincoln Ave,,Cypress,CA,90630,,,,,,,,,,
,,Raleys 343,,1090 Southampton,,Benicia,CA,94510,,,,,,,,,,
,,Lucky,,25151 Santa Clara,,Hayward,CA,94544,,,,,,,,,,
,,Irwins Market,,6123 Weedpatch Hwy,,Bakersfield,CA,93307,,,,,,,,,,
,,Safeway 2841,,815 Canyon Del Rey,,Del Rey Oaks,CA,93940,,,,,,,,,,
,,Food 4 Less Kroger,,660 Palomar St.,,Chula Vista,CA,91911,,,,,,,,,,
,,R & K Market,,5482 E Beverly Blvd.,,Los Angeles,CA,90022,,,,,,,,,,
,,Stop & Shop Food Mart 2,,3501 El Camino Ave,,Sacramento,CA,95825,,,,,,,,,,
,,Super Kwik Dairy,,4358 W Ave L,,Lancaster,CA,93536,,,,,,,,,,
,,Ocean 7 Food Store,,205 Wisconsin,,Oceanside,CA,92054,,,,,,,,,,
,,Water Mart,,1154 North East Street,,Anaheim,CA,92805,,,,,,,,,,
,,Hwy 63 & First,,40385 Road 128,,Cutler,CA,93615,,,,,,,,,,
,,Center Water And Ice,,13016 Chapman Avenue,,Garden Grove,CA,92840,,,,,,,,,,
,,Pleasant Valley & Rose Ave.,,4742 S. Rose Ave,,Oxnard,CA,93033,,,,,,,,,,
,,Safeway 2505 1465,,5146 Stevens Creek,,San Jose,CA,95129,,,,,,,,,,
,,CVS 09373,,5295 Warner,,Huntington Beach,CA,92649,,,,,,,,,,
,,Suds City,,5698 Hollister Ave,,Goleta,CA,93117,,,,,,,,,,
,,Estrellita Market,,640 South Escondido Blvd,,Escondido,CA,92025,,,,,,,,,,
,,Grocery Outlet 065,,2079 23 Rd Street,,San Pablo,CA,94806,,,,,,,,,,
,,Circle K (Replaced) 1197,,6930 Morro Rd,,Atascadero,CA,93422,,,,,,,,,,
,,Ray's Food Place 38,,3460 Broadway,,Eureka,CA,95503,,,,,,,,,,
,,Chuys Deli & Market,,875 Huntington Ave,,San Bruno,CA,94066,,,,,,,,,,
,,CVS 09894,,10455 S. De Anza Blvd.,,Cupertino,CA,95014,,,,,,,,,,
,,Artegas Super Store 2,,6906 S Chestnut,,Gilroy,CA,95020,,,,,,,,,,
,,Cardenas 03,,1714 S Euclid Ave,,Ontario,CA,91762,,,,,,,,,,
,,Lucky 7 Food Store,,4198 Union Ave,,Bakersfield,CA,93305,,,,,,,,,,
,,The Real Tacos,,1145 N Mission Rd,,Los Angeles,CA,90033,,,,,,,,,,
,,G & M Oil 127,,11501 Sepulveda Blvd,,Mission Hills,CA,91345,,,,,,,,,,
,,Bourbon Street Liquor,,1360 E 7 Th St,,Long Beach,CA,90813,,,,,,,,,,
,,Lucky,,4500 Lonetree Way,,Antioch,CA,94509,,,,,,,,,,
,,Mar Val Food Store,,1900 Mchenry Ave,,Escalon,CA,95320,,,,,,,,,,
,,Rite Aid 6333,,15800 Imperial Hwy,,Mirada,CA,90638,,,,,,,,,,
,,Brawley Car Wash,,601 Brawley Avenue,,Brawley,CA,92273,,,,,,,,,,
,,Sunshine Coin Laundry,,601 7 Th Street,,Long Beach,CA,90802,,,,,,,,,,
,,Rite Aid 5651,,6405 El Cajon Blvd,,San Diego,CA,92115,,,,,,,,,,
,,CVS 09493,,12315 Venice Blvd.,,Los Angeles,CA,90066,,,,,,,,,,
,,Rainier Drinking Water,,5015 D West Edinger Avenue,,Santa Ana,CA,92704,,,,,,,,,,
,,Rite Aid 5694,,1133 N Mount Vernon,,Colton,CA,92324,,,,,,,,,,
,,Family Market,,20819 Frances Road,,Richgrove,CA,93261,,,,,,,,,,
,,Venice Market,,1339 W Venice Blvd,,Los Angeles,CA,90006,,,,,,,,,,
,,Chinowith Get N Go,,105 South Chinowith,,Visalia,CA,93291,,,,,,,,,,
,,Food 4 Less Ind,,1115 W. Olive,,Merced,CA,95348,,,,,,,,,,
,,Carniceria Yahualica,,20935 Vanowen St 104 106,,Canoga Park,CA,91304,,,,,,,,,,
,,Safeway 2509 0308,,70 Cabrillo Hwy,,Half Moon Bay,CA,94019,,,,,,,,,,
,,Rojas Market,,200 4 Th Street,,Soledad,CA,93930,,,,,,,,,,
,,Pureza Drinking Water,,10715 1/2 South Prairie Avenue,,Inglewood,CA,90303,,,,,,,,,,
,,Nob Hill 604,,15710 Los Gatos Blvd,,Los Gatos,CA,95032,,,,,,,,,,
,,Rodeo Galleria,,833 S. Western,,Los Angeles,CA,90005,,,,,,,,,,
,,Wilderness Lakes,,30605 Briggs Rd,,Menifee,CA,92584,,,,,,,,,,
,,Laundryland,,7211 S San Pedro St,,Westchester,CA,90045,,,,,,,,,,
,,Andys Liquor,,4312 Cesar Chavez Ave,,East Los Angeles,CA,90022,,,,,,,,,,
,,Albertsons 6128,,644 N.Redondo Ave,,Long Beach,CA,90814,,,,,,,,,,
,,Safeway 2712,,11050 Bollinger Canyon Rd,,San Ramon,CA,94583,,,,,,,,,,
,,Tri Mart Chevron,,526 S Kaweah Ave,,Exeter,CA,93221,,,,,,,,,,
,,Angel's Water,,6223 South Figueroa Street,,Los Angeles,CA,90003,,,,,,,,,,
,,CVS 09632,,880 Third Avenue,,Chula Vista,CA,91911,,,,,,,,,,
,,Valero Gas,,325 Encinitas Blvd,,Encinitas,CA,92024,,,,,,,,,,
,,Todds Market,,1605 East Victoria Avenue,,San Bernardino,CA,92408,,,,,,,,,,
,,Victory Produce,,19801 Vanowen Street,Suite A,Canoga Park,CA,91306,,,,,,,,,,
,,Wonder Bread 7518,,6841 Village Parkway,,Dublin,CA,94566,,,,,,,,,,
,,Kings Food Mart,,1900 Marion Ave,,Kingsburg,CA,93631,,,,,,,,,,
,,49 Er Market,,5190 Highway 49 North,,Mariposa,CA,95338,,,,,,,,,,
,,Circle K 8735,,2097 Mentone Blvd,,Mentone,CA,92359,,,,,,,,,,
,,Circle K 1922,,13120 Magnolia Ave,,Corona,CA,92879,,,,,,,,,,
,,CVS 9788,,2315 Huntington Dr,,Duarte,CA,91010,,,,,,,,,,
,,Hernandez Market,,3790 Portola Drive,,Santa Cruz,CA,95062,,,,,,,,,,
,,Lakeport Express,,301 S Main St,,Lakeport,CA,95453,,,,,,,,,,
,,Harvest Market,,14055 Burbank Blvd,,Van Nuys,CA,91401,,,,,,,,,,
,,Rotten Robbies 31,,390 Leavelsey Rd,,Gilroy,CA,95020,,,,,,,,,,
,,Huntington Landmark,,20880 Oakridge Lane,,Huntington Beach,CA,92646,,,,,,,,,,
,,Watermarket,,832 South Main Street,,Fallbrook,CA,92028,,,,,,,,,,
,,Bridge Store,,748 North D Street,,Madera,CA,93638,,,,,,,,,,
,,Circle K (Replaced) 0337,,10597 Jurupa Rd,,Mira Loma,CA,91752,,,,,,,,,,
,,Twins Liquor,,3602 Mean Avenue,,San Diego,CA,91116,,,,,,,,,,
,,Arcata Co Op,,811 1 Street,,Arcata,CA,95521,,,,,,,,,,
,,Village Liquor Mart,,1859 N Hillhurst,,Los Feliz,CA,90027,,,,,,,,,,
,,Jax Market 04,,1337 E 4 Th Street,,Ontario,CA,91764,,,,,,,,,,
,,Country Club Liquor,,300 Las Tunas,,San Gabriel,CA,91776,,,,,,,,,,
,,Hubbard & Gladstone,,13229 N Gladstone # A,,Sylmar,CA,91342,,,,,,,,,,
,,Los Rancheros Supermarket,,1099 Reganti Dr,,Concord,CA,94518,,,,,,,,,,
,,Lakeview Farms,,11950 Foothill Blvd,,Lake View Terrace,CA,91342,,,,,,,,,,
,,Shannons Market,,369 S Hwy 59,,Merced,CA,95340,,,,,,,,,,
,,Good Drinking Water,,1371 West Redondo Beach Blvd,,Gardena,CA,90247,,,,,,,,,,
,,Ralphs,,16940 Devonshire St.,,Granada Hills,CA,91344,,,,,,,,,,
